,,"AUC as on December 31, 2019","Net Investment December 16-31, 2019","Net Investment January 01-15, 2020","AUC as on January 15, 2020","Net Investment January 16-31, 2020","AUC as on January 31, 2020","Net Investment February 01-15, 2020","AUC as on February 15, 2020","AUC as on February 15, 2020","Net Investment Februar 01-15, 2020","Net Investment February 16-29, 2020","AUC as on February 29, 2020","Net Investment March 01-15, 2020","AUC as on March 15, 2020","AUC as on March 15, 2020","Net Investment March 01-15, 2020","Net Investment March 16-31, 2020","AUC as on March 31, 2020","Net Investment March 16-31, 2020","Net Investment April 01-15, 2020","AUC as on April 15, 2020","AUC as on April 15, 2020","Net Investment April 01-15, 2020","Net Investment April 16-30, 2020","AUC as on April 30, 2020","Net Investment May 01-15, 2020","AUC as on May 15, 2020","Net Investment May 16-31, 2020","AUC as on May 31, 2020","Net Investment June 01-15, 2020","AUC as on June 15, 2020","Net Investment June 16-30, 2020","AUC as on June 30, 2020","Net Investment July 01-15, 2020","AUC as on July 15, 2020","Net Investment July 01-15, 2020","Net Investment July 16-31, 2020","AUC as on July 31, 2020","AUC as on July 31, 2020","Net Investment July 16-31, 2020","Net Investment August 01-15, 2020","AUC as on August 15, 2020","Net Investment August 16-31, 2020","AUC as on August 31, 2020","Net Investment September 01-15, 2020","AUC as on September 15, 2020","Net Investment September 16-30, 2020","AUC as on September 30, 2020","Net Investment October 01-15, 2020","AUC as on October 15, 2020","Net Investment October 16-31, 2020","AUC as on October 31, 2020","Net Investment November 01-15, 2020","AUC as on November 15, 2020","Net Investment November 16-30, 2020","AUC as on November 30, 2020","Net Investment December 01-15, 2020","AUC as on December 15, 2020","Net Investment December 16-31, 2020","AUC as on December 31, 2020"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.
Sr. No.,Sectors,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity
1,Automobiles & Auto Components,"155,901",400,277,"157,396",838,"153,410",-274,"148,257","148,236",-274,"-1,852","131,467","-1,050","118,704","118,704","-1,050","-2,535","88,463","-2,535",-505,"99,970","99,970",-505,"-1,418","1,07,705",-267,"1,05,136",-130,"1,14,592","1,221","1,19,300",-45,"1,25,847",522,"1,29,776",522,953,"1,38,290","1,38,290",953,781,"1,44,407",591,"1,47,992",-418,"1,50,818",-892,"1,48,495","1,659","1,51,765",337,"1,47,186",374,"1,58,016","3,356","1,69,610","3,668","1,79,062","1,402","1,80,952"
2,Total  Financial Services,"1,181,152","2,180",-687,"1,186,224",-627,"1,159,259",440,"1,170,820","1,168,356",400,"-1,968","1,089,379","-11,350","952,460","952,956","-9,004","-10,952","709,218","-10,952",-30,"702,001","7,02,001",-30,-723,"8,04,814","-2,493","7,02,716","-4,504","7,06,390","11,954","7,60,775",707,"8,10,876","-2,543","8,13,980","-2,543",572,"8,25,974","8,25,974",572,"6,653","8,50,076","2,909","9,20,984",-295,"8,87,249","-1,601","8,56,176","5,280","9,24,639","4,166","9,55,667","16,389","11,51,844","12,685","12,05,623","13,532","12,58,708","3,669","13,17,036"
2a,Banks,"698,344",982,-225,"693,720",-821,"674,617",-59,"675,462","674,606",-87,"-1,404","638,225","-7,463","548,765","548,148","-7,313","-6,397","411,179","-6,397","1,454","408,631","4,08,631","1,454",-216,"4,65,367","-1,134","4,06,046","-2,117","4,15,061","8,307","4,40,181","-1,305","4,75,905","-2,079","4,70,682","-2,079",670,"4,80,327","4,80,327",670,"7,441","4,92,200","1,709","5,50,692",132,"5,25,667",-380,"5,05,840","3,442","5,47,377","2,601","5,76,448","11,519","6,94,688","7,645","7,29,689","9,559","7,57,997",968,"7,77,131"
2b,Other Financial Services1,"482,808","1,198",-462,"492,504",195,"484,641",498,"495,358","493,751",487,-564,"451,154","-3,887","403,695","404,808","-1,691","-4,555","298,039","-4,555","-1,484","293,370","2,93,370","-1,484",-507,"3,39,448","-1,360","2,96,670","-2,387","2,91,329","3,647","3,20,595","2,012","3,34,971",-464,"3,43,298",-464,-98,"3,45,647","3,45,647",-98,-788,"3,57,876","1,200","3,70,292",-426,"3,61,583","-1,221","3,50,337","1,837","3,77,262","1,565","3,79,219","4,870","4,57,156","5,040","4,75,934","3,973","5,00,711","2,700","5,39,905"
3,Capital Goods,"94,656",-297,18,"98,453",-226,"98,122",-823,"94,485","93,276",-856,-892,"82,518",-631,"71,472","71,466",-627,"-1,881","56,250","-1,881",-229,"61,147","61,147",-229,154,"64,930",-144,"62,313",-45,"64,759",776,"70,842",476,"74,567",-419,"73,871",-419,-48,"73,477","73,477",-48,385,"79,418",438,"83,731",232,"92,834",124,"93,427",237,"90,813",760,"99,021","1,709","1,14,187","1,641","1,26,250","2,951","1,31,248",947,"1,35,241"
4,Chemicals & Petrochemicals,"43,152",92,-122,"44,375",-183,"42,797",-109,"45,671","45,662",-109,43,"42,379",85,"36,074","36,074",85,-308,"30,178",-308,-147,"32,913","32,913",-147,-242,"36,390",-299,"33,465",-115,"35,099",160,"35,688",-121,"36,256",-188,"37,781",-188,-61,"39,467","39,467",-61,-63,"40,612",361,"42,126",113,"44,851",-25,"43,146",185,"42,875",146,"42,919",841,"44,217",569,"45,012",952,"48,202",723,"49,955"
5,Coal,"11,261",31,-129,"11,168",13,"9,547",-283,"8,927","8,927",-283,73,"8,662",-226,"7,772","7,772",-226,67,"7,132",67,-72,"7,407","7,407",-72,-119,"7,347",28,"6,437",0,"7,005",-63,"6,525",-75,"6,476",-200,"6,059",-200,-10,"6,053","6,053",-10,-56,"6,166",56,"6,341",-57,"5,791",-238,"5,193",-182,"4,834",-127,"4,812",-95,"5,329",-142,"5,019",-26,"5,700",72,"5,446"
6,Commercial Services & Supplies,"9,020",9,11,"9,375",-15,"9,438",13,"9,965","9,904",13,-43,"8,591",-16,"6,637","6,637",-16,38,"5,471",38,-96,"5,770","5,770",-96,-121,"5,505",9,"5,660",-17,"5,861",-45,"5,889",5,"6,208",6,"6,113",6,21,"6,654","6,654",21,-11,"7,573",-36,"9,382",-8,"9,694",-57,"9,766",19,"10,054",5,"10,965",35,"11,777",-23,"12,438",-50,"14,033",19,"14,398"
