16,Healthcare Equipment & Supplies,72,-1,-4,74,0,84,-2,90,90,-2,-9,83,-1,73,73,-1,-3,61,-3,-2,60,60,-2,-3,54,-1,64,0,68,-3,67,-2,67,-1,79,-1,0,82,82,0,-2,82,-1,81,3,103,22,117,3,128,-4,123,19,143,-2,142,22,177,-2,170
32 d,Roads & Highways,1616,-11,-104,1668,28,1788,-34,1675,1675,-34,-29,1366,-10,1154,1154,-10,-4,827,-4,-13,1037,1037,-13,-26,1041,-23,942,3,911,-16,997,-28,1110,39,1291,39,47,1332,1332,47,9,1467,-46,1481,-12,1494,-27,1346,-10,1300,12,1353,-9,1363,27,1449,7,1496,2,1539
18,"Hotels, Restaurants & Tourism",13251,-159,69,13596,86,14471,-316,13924,13924,-316,41,13615,-87,11411,11411,-87,-475,9271,-475,-167,9013,9013,-167,171,9812,74,9815,272,10186,278,11065,-90,10979,-131,10809,-131,61,10824,10824,61,122,12096,304,13573,64,15075,-6,14861,83,14571,88,14112,64,15966,124,16502,2438,19722,-139,21394
24,Pharmaceuticals & Biotechnology,102073,-178,-115,103785,107,104431,134,110056,109991,133,-959,100330,-552,92940,93099,-553,-1189,89291,-1189,-987,108937,108937,-987,-955,112611,380,110824,-38,116816,762,121982,-216,123041,375,126621,375,595,139557,139557,595,520,146016,810,140435,364,147580,-516,146553,167,148668,-329,144815,-96,149968,4405,157320,2811,166808,1462,164256
13,Forest Materials,955,-2,-1,997,-1,1002,2,942,942,2,-7,863,-4,686,686,-4,-6,560,-6,-7,615,615,-7,-9,659,-15,589,-15,535,-7,586,6,637,-12,634,-12,2,1113,1113,2,3,1147,-80,1144,-27,1191,-18,1082,-19,1070,-62,1005,-72,1008,-11,1057,-2,1169,-8,1234
17,Healthcare Services,20097,-219,-26,21421,-207,22962,-177,23086,23086,-177,-145,22894,-37,20344,20344,-37,-116,16474,-116,-45,17925,17925,-45,374,18877,26,18357,26,18415,-72,19008,-22,18655,-11,20535,-11,315,22521,22521,315,-49,22817,12,23212,491,24644,552,28035,-91,28752,68,28861,177,30634,520,32706,485,32991,381,33952
32 c,Marine Port & Services,14809,-238,-63,15767,33,14845,116,14842,14842,116,29,13825,-187,11828,11828,-187,-569,9573,-569,-188,9998,9998,-188,-61,10659,-59,11225,78,11823,-27,12550,-12,12639,-81,11647,-81,-56,11485,11485,-56,90,12750,84,13141,-25,12996,25,12623,87,12767,131,13550,-65,13676,261,15645,234,18148,-118,18355
10,Diversified Consumer Services,2763,-24,17,2696,-66,2815,22,2803,2803,22,-34,2721,17,2532,2532,17,-15,1900,-15,-10,1917,1917,-10,-18,1920,-4,1743,-6,1758,-1,1873,4,1915,8,1980,8,-1,1989,1989,-1,-97,2089,84,2276,-16,2333,-6,2174,23,2193,-2,2212,13,2333,2,2566,-3,2669,-2,2612
32,Transportation,39407,-27,-100,41496,-186,40034,-137,39814,39811,-137,-127,36051,-429,29078,29078,-429,-786,25338,-786,-209,26685,26685,-209,-212,27125,196,27835,99,28356,165,30006,7,30727,-169,29884,-169,-156,30321,30321,-156,72,31344,7,32838,38,33616,-186,31905,156,32190,184,33665,594,36927,549,38935,427,43124,85,43448
3,Capital Goods,94656,-297,18,98453,-226,98122,-823,94485,93276,-856,-892,82518,-631,71472,71466,-627,-1881,56250,-1881,-229,61147,61147,-229,154,64930,-144,62313,-45,64759,776,70842,476,74567,-419,73871,-419,-48,73477,73477,-48,385,79418,438,83731,232,92834,124,93427,237,90813,760,99021,1709,114187,1641,126250,2951,131248,947,135241
31,"Textiles, Apparels & Accessories",39511,-372,-666,39610,81,39736,-204,40673,40673,-204,-88,38925,-128,33941,33941,-128,-867,27978,-867,-208,28250,28250,-208,-865,28683,-235,25770,-34,26629,-35,27510,-124,28011,-175,27921,-175,96,29236,29236,96,108,30444,66,30692,-64,31993,-187,32886,-63,32747,27,32113,-117,34638,331,36620,365,39659,384,42828
19,Household & Personal Products,107902,-401,-463,113486,-62,109603,-889,112792,112792,-889,-232,107712,-585,99263,99263,-585,-815,105308,-815,1529,116587,116587,1529,1287,110506,16253,122545,-1938,125437,-1146,123200,-738,129424,-132,133066,-132,-553,131921,131921,-553,178,130629,-608,126500,-715,128831,783,128272,246,130247,762,127780,294,133262,132,131816,988,141879,647,145962
